itemNo,material,currency,price,quantity,action,activityType,baseUnit,businessArea,componentId,costCenter,costElement,costEstNo,costingDate,costingType,costingVersion,currencyTypeCode,errMsg,fixValue,fixedValue,itemCategory,ledger,materialCompositeKey,materialDesc,materialSpecProcTypeCosting,mixedCosting,mixingRatio,operation,parentMaterial,parentMaterialCompositeKey,parentMaterialSpecProcTypeCosting,parentPlant,plant,priceUnit,processCategory,procurementAlternative,profitCenter,purcDocNum,purcItemNo,referenceObject,selectionIdType,srcSys,supplier,totalValue,tranSelectionId,transfCostEstNo,transfCostingDate,transfCostingType,transfCostingVersion,transfValuationVariant,transferStrategy,valuationStrategy,valuationVariant,workCenter,reportType
MB014,Steering Rack,USD,450.00,1,Purchase,Steering System,EA,Automotive,SR_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,USD,,,,,Parts,GL110,MB014_COMP,Steering Rack Assembly,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,450.00,Steering Assy,Supplier Procure,PC60,PO12362,180,,Parts,SAP,ZF,450.00,TID_020,TCE_020,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB015,Drive Shaft,EUR,300.00,1,Purchase,Drivetrain,EA,Automotive,DS_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,EUR,,,,,Parts,GL111,MB015_COMP,Drive Shaft Assembly,Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,300.00,Drivetrain Assy,Supplier Procure,PC61,PO12363,190,,Parts,SAP,GKN,300.00,TID_021,TCE_021,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,GENERAL_COSTING
MB016,Catalytic Converter,USD,700.00,1,Purchase,Exhaust System,EA,Automotive,CC_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,USD,,,,,Parts,GL112,MB016_COMP,Catalytic Converter,Direct Procure,False,0.0,Buy,MB_EXH,MB_EXH_COMP,,PlantI,P900,700.00,Exhaust Assy,Supplier Procure,PC62,PO12364,200,,Parts,SAP,Bosal,700.00,TID_022,TCE_022,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB017,Head Gasket,EUR,80.00,1,Purchase,Engine Parts,EA,Automotive,HG_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB017_COMP,Head Gasket for Engine,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,80.00,Engine Assy,Supplier Procure,PC63,PO12365,210,,Parts,SAP,Elring,80.00,TID_023,TCE_023,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB018,Timing Belt Kit,USD,180.00,1,Purchase,Engine Parts,EA,Automotive,TBK_A,CC114,EL516,CE20240723,2024-07-23,Standard,V1.0,USD,,,,,Parts,GL114,MB018_COMP,Timing Belt Kit,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,180.00,Engine Assy,Supplier Procure,PC64,PO12366,220,,Parts,SAP,ContiTech,180.00,TID_024,TCE_024,2024-07-23,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB019,Clutch Kit,EUR,400.00,1,Purchase,Transmission,EA,Automotive,CK_A,CC115,EL517,CE20240724,2024-07-24,Standard,V1.0,EUR,,,,,Parts,GL115,MB019_COMP,Clutch Kit,Direct Procure,False,0.0,Buy,MB_TRANS,MB_TRANS_COMP,,PlantL,P1200,400.00,Transmission Assy,Supplier Procure,PC65,PO12367,230,,Parts,SAP,LuK,400.00,TID_025,TCE_025,2024-07-24,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Transmission,GENERAL_COSTING
MB020,Fuel Filter,USD,40.00,1,Purchase,Fuel System,EA,Automotive,FF_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Consumable,GL116,MB020_COMP,Fuel Filter,Direct Procure,False,0.0,Buy,MB_FUEL,MB_FUEL_COMP,,PlantE,P500,40.00,Fuel Assy,Supplier Procure,PC66,PO12368,240,,Consumable,SAP,Bosch,40.00,TID_026,TCE_026,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,FuelLine,GENERAL_COSTING
PU005,Dashboard Assembly,EUR,1500.00,1,Manufacture,Interior,EA,Interior Prod,DA_A,CC203,EL519,CE20240726,2024-07-26,Production,V1.0,EUR,,,,,Assembly,GL203,PU005_COMP,"Used in Mercedes E-Class (W213), CLS (C257)",Internal Procure,False,0.0,Produce,MB_INT,MB_INT_COMP,,PlantB,P200,1500.00,Final Assy,Internal Mfg,PC67,,,,,SAP,1500.00,TID_027,TCE_027,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,InteriorShop,PARTS_USAGE
PU006,ABS Control Unit,USD,700.00,1,Manufacture,Braking System,EA,Electronics,ABS_CU_A,CC204,EL520,CE20240727,2024-07-27,Production,V1.0,USD,,,,,Assembly,GL204,PU006_COMP,"Used in Mercedes GLC (X253), C-Class (W205)",Internal Procure,False,0.0,Produce,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,700.00,Final Assy,Internal Mfg,PC68,,,,,SAP,700.00,TID_028,TCE_028,2024-07-27,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,BrakeShop,PARTS_USAGE
SP005,Brake Caliper (Front),EUR,180.00,1,Purchase,Braking System,EA,Automotive,BC_F_A,CC117,EL521,CE20240728,2024-07-28,Standard,V1.0,EUR,,,,,Parts,GL117,SP005_COMP,"Similar to Brake Caliper (Rear), Performance Brake Caliper",Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,180.00,Brake Assy,Supplier Procure,PC69,PO12369,250,,Parts,SAP,ATE,180.00,TID_029,TCE_029,2024-07-28,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BrakeShop,SIMILAR_PARTS
SP006,Wheel Hub,USD,90.00,1,Purchase,Wheels,EA,Automotive,WH_A,CC118,EL522,CE20240729,2024-07-29,Standard,V1.0,USD,,,,,Parts,GL118,SP006_COMP,"Similar to Wheel Bearing, Axle Shaft",Direct Procure,False,0.0,Buy,MB_WHEEL,MB_WHEEL_COMP,,PlantD,P400,90.00,Wheel Assy,Supplier Procure,PC70,PO12370,260,,Parts,SAP,FAG,90.00,TID_030,TCE_030,2024-07-29,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,WheelShop,SIMILAR_PARTS
CC005,Headlight Assembly (Supplier E),EUR,700.00,1,Purchase,Lighting,EA,Automotive,HL_001E,CC302,EL523,CE20240730,2024-07-30,Standard,V1.0,EUR,,,,,Parts,GL119,CC005_COMP,Headlight Assembly from Supplier E,Direct Procure,False,0.0,Buy,MB_LIGHT,MB_LIGHT_COMP,,PlantA,P100,700.00,Lighting Assy,Supplier Quote,PC72,PO12371,270,,Parts,SAP,SupplierE,700.00,TID_031,TCE_031,2024-07-30,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,LightingAssy,COST_COMPARISON
CC006,Headlight Assembly (Supplier F),EUR,720.00,1,Purchase,Lighting,EA,Automotive,HL_001F,CC302,EL523,CE20240730,2024-07-30,Standard,V1.0,EUR,,,,,Parts,GL119,CC006_COMP,Headlight Assembly from Supplier F,Direct Procure,False,0.0,Buy,MB_LIGHT,MB_LIGHT_COMP,,PlantA,P100,720.00,Lighting Assy,Supplier Quote,PC72,PO12372,280,,Parts,SAP,SupplierF,720.00,TID_032,TCE_032,2024-07-30,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,LightingAssy,COST_COMPARISON
MB021,Control Arm (Rear Right),EUR,160.00,1,Purchase,Suspension,EA,Automotive,CA_RR_A,CC107,EL509,CE20240716,2024-07-16,Standard,V1.0,EUR,,,,,Parts,GL107,MB021_COMP,Rear Right Control Arm,Direct Procure,False,0.0,Buy,MB_SUSP,MB_SUSP_COMP,,PlantH,P800,160.00,Suspension Assy,Supplier Procure,PC57,PO12373,290,,Parts,SAP,TRW,160.00,TID_033,TCE_033,2024-07-16,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Suspension,GENERAL_COSTING
MB022,EGR Valve,USD,280.00,1,Purchase,Emission System,EA,Automotive,EGR_A,CC112,EL514,CE20240721,2024-07-21,Standard,V1.0,USD,,,,,Parts,GL112,MB022_COMP,EGR Valve Assembly,Direct Procure,False,0.0,Buy,MB_EMISS,MB_EMISS_COMP,,PlantI,P900,280.00,Emission Assy,Supplier Procure,PC62,PO12374,300,,Parts,SAP,Wahler,280.00,TID_034,TCE_034,2024-07-21,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Exhaust,GENERAL_COSTING
MB023,Mass Air Flow Sensor,EUR,120.00,1,Purchase,Engine Management,EA,Automotive,MAF_A,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,MB023_COMP,Mass Air Flow Sensor,Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,120.00,Engine Assy,Supplier Procure,PC63,PO12375,310,,Parts,SAP,Bosch,120.00,TID_035,TCE_035,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,GENERAL_COSTING
MB024,Ignition Coil,USD,60.00,4,Purchase,Electrical,EA,Automotive,IC_A,CC102,EL504,CE20240711,2024-07-11,Standard,V1.0,USD,,,,,Parts,GL102,MB024_COMP,Ignition Coil for Engine,Direct Procure,False,0.0,Buy,MB_ELEC,MB_ELEC_COMP,,PlantC,P300,60.00,Engine Assy,Supplier Procure,PC52,PO12376,320,,Parts,SAP,Beru,240.00,TID_036,TCE_036,2024-07-11,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Electrical,GENERAL_COSTING
MB025,Power Steering Pump,EUR,280.00,1,Purchase,Steering System,EA,Automotive,PSP_A,CC110,EL512,CE20240719,2024-07-19,Standard,V1.0,EUR,,,,,Parts,GL110,MB025_COMP,Power Steering Pump,Direct Procure,False,0.0,Buy,MB_STEER,MB_STEER_COMP,,PlantJ,P1000,280.00,Steering Assy,Supplier Procure,PC60,PO12377,330,,Parts,SAP,ZF,280.00,TID_037,TCE_037,2024-07-19,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Steering,GENERAL_COSTING
MB026,Window Regulator (Front Left),USD,150.00,1,Purchase,Body,EA,Automotive,WR_FL_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,MB026_COMP,Front Left Window Regulator,Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,150.00,Body Assy,Supplier Procure,PC53,PO12378,340,,Parts,SAP,Brose,150.00,TID_038,TCE_038,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,GENERAL_COSTING
MB027,Door Lock Actuator (Front Right),EUR,90.00,1,Purchase,Body,EA,Automotive,DLA_FR_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,EUR,,,,,Parts,GL103,MB027_COMP,Front Right Door Lock Actuator,Direct Procure,False,0.0,Buy,MB_BODY,MB_BODY_COMP,,PlantD,P400,90.00,Body Assy,Supplier Procure,PC53,PO12379,350,,Parts,SAP,Huf,90.00,TID_039,TCE_039,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,BodyShop,GENERAL_COSTING
MB028,Sunroof Motor,USD,220.00,1,Purchase,Interior,EA,Automotive,SM_A,CC103,EL505,CE20240712,2024-07-12,Standard,V1.0,USD,,,,,Parts,GL103,MB028_COMP,Sunroof Motor Assembly,Direct Procure,False,0.0,Buy,MB_INT,MB_INT_COMP,,PlantD,P400,220.00,Interior Assy,Supplier Procure,PC53,PO12380,360,,Parts,SAP,Webasto,220.00,TID_040,TCE_040,2024-07-12,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,InteriorShop,GENERAL_COSTING
MB029,Heater Blower Motor,EUR,130.00,1,Purchase,HVAC,EA,Automotive,HBM_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,EUR,,,,,Parts,GL116,MB029_COMP,Heater Blower Motor,Direct Procure,False,0.0,Buy,MB_HVAC,MB_HVAC_COMP,,PlantE,P500,130.00,HVAC Assy,Supplier Procure,PC66,PO12381,370,,Parts,SAP,Bosch,130.00,TID_041,TCE_041,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,HVACShop,GENERAL_COSTING
MB030,AC Compressor,USD,450.00,1,Purchase,HVAC,EA,Automotive,ACC_A,CC116,EL518,CE20240725,2024-07-25,Standard,V1.0,USD,,,,,Parts,GL116,MB030_COMP,AC Compressor,Direct Procure,False,0.0,Buy,MB_HVAC,MB_HVAC_COMP,,PlantE,P500,450.00,HVAC Assy,Supplier Procure,PC66,PO12382,380,,Parts,SAP,Denso,450.00,TID_042,TCE_042,2024-07-25,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,HVACShop,GENERAL_COSTING
PU007,Infotainment Control Unit,EUR,950.00,1,Manufacture,Infotainment,EA,Electronics,ICU_A,CC202,EL511,CE20240718,2024-07-18,Production,V1.0,EUR,,,,,Assembly,GL202,PU007_COMP,"Used in Mercedes A-Class (W177), CLA (C118)",Internal Procure,False,0.0,Produce,MB_INFO,MB_INFO_COMP,,PlantB,P200,950.00,Final Assy,Internal Mfg,PC62,,,,,SAP,950.00,TID_043,TCE_043,2024-07-26,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,Electronics,PARTS_USAGE
PU008,Rear Axle Assembly,USD,1800.00,1,Manufacture,Drivetrain,EA,Drivetrain Prod,RAA_A,CC205,EL524,CE20240729,2024-07-29,Production,V1.0,USD,,,,,Assembly,GL205,PU008_COMP,"Used in Mercedes GLC (X253), C-Class (W205)",Internal Procure,False,0.0,Produce,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,1800.00,Final Assy,Internal Mfg,PC73,,,,,SAP,1800.00,TID_044,TCE_044,2024-07-29,Production,TV1.0,TVV_002,Intercompany,Standard Cost,VV_002,Drivetrain,PARTS_USAGE
SP007,Engine Mount,EUR,70.00,1,Purchase,Engine Parts,EA,Automotive,EM_B,CC113,EL515,CE20240722,2024-07-22,Standard,V1.0,EUR,,,,,Parts,GL113,SP007_COMP,"Similar to Transmission Mount, Subframe Bushing",Direct Procure,False,0.0,Buy,MB_ENGINE,MB_ENGINE_COMP,,PlantC,P300,70.00,Engine Assy,Supplier Procure,PC63,PO12383,390,,Parts,SAP,Corteco,70.00,TID_045,TCE_045,2024-07-22,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,EngineShop,SIMILAR_PARTS
SP008,CV Joint Boot Kit,USD,45.00,1,Purchase,Drivetrain,EA,Automotive,CVJ_A,CC111,EL513,CE20240720,2024-07-20,Standard,V1.0,USD,,,,,Parts,GL111,SP008_COMP,"Similar to CV Axle, Drive Shaft Boot",Direct Procure,False,0.0,Buy,MB_DRIVE,MB_DRIVE_COMP,,PlantK,P1100,45.00,Drivetrain Assy,Supplier Procure,PC61,PO12384,400,,Parts,SAP,GKN,45.00,TID_046,TCE_046,2024-07-20,Standard,TV1.0,TVV_001,Stock Transfer,Average Cost,VV_001,Drivetrain,SIMILAR_PARTS
CC007,Brake Pad Set (Supplier G),EUR,80.00,1,Purchase,Braking System,EA,Automotive,BP_001G,CC300,EL500,CE20240709,2024-07-09,Standard,V1.0,EUR,,,,,Parts,GL100,CC007_COMP,Brake Pad Set from Supplier G,Direct Procure,False,0.0,Buy,MB_BRAKE,MB_BRAKE_COMP,,PlantA,P100,80.00,Assembly,Supplier Quote,PC70,PO12385,410,,Parts,SAP,SupplierG,80.00,TID_047,TCE_047,2024-07-09,Standard,TV1.0,TVV_001,Direct Purchase,Average Cost,VV_001,BrakeShop,COST_COMPARISON
